Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1649348785.0333102,185006,1649348784,993775398,world,0.005460123997181654,0.03997037187218666,0.3703613579273224,-0.010593205690383911,-0.024768192321062088,-0.006751589477062225,0.9996143579483032
1649348785.0400639,185007,1649348785,2962371,world,0.005272155161947012,0.03989919275045395,0.3702523112297058,-0.00893805269151926,-0.016772592440247536,2.890957512136083e-05,0.9998193979263306
1649348785.0400815,185008,1649348785,4231558,world,0.0057006473653018475,0.04027535393834114,0.370212584733963,-0.007414779160171747,-0.024286216124892235,-0.007834617048501968,0.9996468424797058
1649348785.046371,185009,1649348785,11670943,world,0.005472288001328707,0.03988189250230789,0.3701585531234741,-0.010821240022778511,-0.02269437164068222,-0.0017319351900368929,0.9996824264526367
1649348785.048986,185010,1649348785,17029274,world,0.005541232880204916,0.03996387496590614,0.37019434571266174,-0.009628674946725368,-0.023609042167663574,-0.003326648846268654,0.9996693730354309
1649348785.052112,185011,1649348785,21901795,world,0.00569595443084836,0.03994809091091156,0.3699249029159546,-0.01318011898547411,-0.018431752920150757,-0.0020357437897473574,0.9997411966323853
1649348785.0580208,185012,1649348785,27731877,world,0.005597167648375034,0.039749596267938614,0.3699316680431366,-0.013363919220864773,-0.020471200346946716,-0.004659093916416168,0.9996903538703918
1649348785.0647051,185013,1649348785,34577776,world,0.0055154492147266865,0.03996783494949341,0.3701760768890381,-0.009429026395082474,-0.022924713790416718,-0.005650752689689398,0.9996768236160278
1649348785.0700939,185014,1649348785,39752921,world,0.005650050472468138,0.03995414823293686,0.3700380325317383,-0.013872812502086163,-0.019332922995090485,-0.002093065297231078,0.999714732170105
1649348785.0767324,185015,1649348785,45774665,world,0.005530944559723139,0.04002133756875992,0.37031084299087524,-0.01144003588706255,-0.023394379764795303,-0.006398859899491072,0.9996404051780701
1649348785.0841942,185016,1649348785,51383910,world,0.005628466606140137,0.04003698006272316,0.37023577094078064,-0.009119555354118347,-0.022045280784368515,-0.006122008431702852,0.9996966123580933
1649348785.0891988,185017,1649348785,57299073,world,0.005263308063149452,0.03992321714758873,0.3702569007873535,-0.0092505207285285,-0.016881883144378662,-9.018347191158682e-05,0.9998146891593933
1649348785.094231,185018,1649348785,63066537,world,0.005598326679319143,0.03980059176683426,0.370179146528244,-0.011258232407271862,-0.022438444197177887,-0.00011997704132227227,0.9996848702430725
1649348785.0994408,185019,1649348785,69126883,world,0.005320023279637098,0.039854444563388824,0.370306134223938,-0.00953284278512001,-0.015649957582354546,0.0015946050407364964,0.9998308420181274
1649348785.105983,185020,1649348785,75060284,world,0.005575553514063358,0.04003089666366577,0.3703199625015259,-0.011571022681891918,-0.02279520593583584,-0.005537427496165037,0.9996578693389893
1649348785.1120749,185021,1649348785,81253801,world,0.005821158643811941,0.04005992040038109,0.3703436851501465,-0.010960482060909271,-0.021848654374480247,-0.006270300596952438,0.9996815323829651
1649348785.1171896,185022,1649348785,87032421,world,0.005467943847179413,0.03993271291255951,0.37020519375801086,-0.009456731379032135,-0.022743700072169304,-0.00483148405328393,0.9996849894523621
