Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1649348542.242395,143997,1649348542,208360780,world,0.00815962441265583,0.0030597213190048933,0.3687083423137665,-0.011577633209526539,-0.02075166068971157,-0.019595127552747726,0.9995256066322327
1649348542.2424085,143998,1649348542,211155720,world,0.008607577532529831,0.003546233754605055,0.3699919879436493,-0.0013783780159428716,-0.03693179041147232,-0.012264326214790344,0.9992416501045227
1649348542.252505,143999,1649348542,221563971,world,0.008025641553103924,0.002688170177862048,0.36873340606689453,-0.010782494209706783,-0.02060232125222683,-0.02249019593000412,0.9994766712188721
1649348542.2569792,144000,1649348542,223769511,world,0.00818443950265646,0.003071740036830306,0.36861321330070496,-0.012836736626923084,-0.02194497548043728,-0.018412025645375252,0.9995072484016418
1649348542.2603834,144001,1649348542,228940441,world,0.008440353907644749,0.0017504604766145349,0.3674717843532562,-0.034314580261707306,-0.035117749124765396,-0.029861396178603172,0.9983474016189575
1649348542.2723663,144002,1649348542,238459632,world,0.007387752179056406,0.004024378955364227,0.36948785185813904,-0.014643171802163124,-0.028800055384635925,-0.015761559829115868,0.9993536472320557
1649348542.276715,144003,1649348542,244085288,world,0.008165603503584862,0.003045339835807681,0.3685937523841858,-0.01318251434713602,-0.021874839439988136,-0.01880108006298542,0.9994970560073853
1649348542.2767494,144004,1649348542,246783438,world,0.008125251159071922,0.0031444206833839417,0.3684535026550293,-0.01405025739222765,-0.022801723331212997,-0.01896222122013569,0.9994614720344543
1649348542.2815275,144005,1649348542,252377826,world,0.008652566000819206,0.004113234579563141,0.37021568417549133,-0.012849586084485054,-0.03946826234459877,-0.014700337313115597,0.9990301132202148
1649348542.298829,144006,1649348542,265780764,world,0.008147260174155235,0.0030170022509992123,0.368758887052536,-0.011818069033324718,-0.02088315784931183,-0.018532246351242065,0.9995402693748474
1649348542.3013012,144007,1649348542,270289140,world,0.00845347810536623,0.0017634823452681303,0.3674812912940979,-0.03631002455949783,-0.03496422991156578,-0.029402218759059906,0.9982958436012268
1649348542.3013256,144008,1649348542,270683789,world,0.008086234331130981,0.003265382954850793,0.3680288791656494,-0.017741788178682327,-0.011015061289072037,-0.013411334715783596,0.9996919631958008
1649348542.3050075,144009,1649348542,275880368,world,0.0067846025340259075,0.0023041751701384783,0.3726128041744232,0.018766729161143303,-0.07132983207702637,-0.013863888569176197,0.9971799254417419
1649348542.3116026,144010,1649348542,282356569,world,0.007935048080980778,0.003041478106752038,0.36871758103370667,-0.011389104649424553,-0.020688338205218315,-0.018368862569332123,0.9995523691177368
1649348542.3195617,144011,1649348542,289999270,world,0.008014526218175888,0.0026637164410203695,0.3687115013599396,-0.010287356562912464,-0.02092832513153553,-0.02263583056628704,0.9994717836380005
